2024-08-05 15:42:45,164 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2024-08-05 15:42:45,180 [Test worker] INFO  org.springframework.test.context.support.AbstractContextLoader(generateDefaultLocations:264) - Could not detect default resource locations for test class [kr.co.daou.api.ApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-05 15:42:45,180 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(detectDefaultConfigurationClasses:83) - Could not detect default configuration classes for test class [kr.co.daou.api.ApiApplicationTests]: ApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-05 15:42:45,227 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getOrFindConfigurationClasses:238) - Found @SpringBootConfiguration kr.co.daou.api.ApiApplication for test class kr.co.daou.api.ApiApplicationTests
2024-08-05 15:42:45,274 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getDefaultTestExecutionListenerClassNames:245) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-08-05 15:42:45,290 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getTestExecutionListeners:174) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@64d2da46, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3bbd931b, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@36ab8e36, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4e67aa3a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3c15595a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6be72088, org.springframework.test.context.event.EventPublishingTestExecutionListener@1d7c9fc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@72129586, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@64dbcd17, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@366a4264, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@9cdf57c, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6f95ef66, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@559c34f6]
2024-08-05 15:42:45,493 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarting:55) - Starting ApiApplicationTests using Java 15.0.10 on daou-danae with PID 18496 (started by daou-danae in C:\Users\danae\Desktop\Homework)
2024-08-05 15:42:45,493 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStartupProfileInfo:664) - No active profile set, falling back to default profiles: default
2024-08-05 15:42:46,602 [Test worker] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:53) - Adding welcome page: class path resource [static/index.html]
2024-08-05 15:42:46,882 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarted:61) - Started ApiApplicationTests in 1.574 seconds (JVM running for 2.441)
2024-08-05 15:42:50,200 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2024-08-05 15:42:50,215 [Test worker] INFO  org.springframework.test.context.support.AbstractContextLoader(generateDefaultLocations:264) - Could not detect default resource locations for test class [kr.co.daou.api.ApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-05 15:42:50,215 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(detectDefaultConfigurationClasses:83) - Could not detect default configuration classes for test class [kr.co.daou.api.ApiApplicationTests]: ApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-05 15:42:50,262 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getOrFindConfigurationClasses:238) - Found @SpringBootConfiguration kr.co.daou.api.ApiApplication for test class kr.co.daou.api.ApiApplicationTests
