2024-08-05 09:27:55,406 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getDefaultTestExecutionListenerClassNames:245) - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-08-05 09:27:55,413 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getTestExecutionListeners:174) - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56f1a058, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4b27ed58, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5c4295e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3f66b945, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@644e2d91, org.springframework.test.context.support.DirtiesContextTestExecutionListener@10f7516d, org.springframework.test.context.event.EventPublishingTestExecutionListener@34dd04f4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3e7b2fbb, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2bccbf40, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@11aff6d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5dbcb11e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3add5be5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@74a5c541]
2024-08-05 09:27:55,606 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarting:55) - Starting ApiApplicationTests using Java 15.0.10 on daou-danae with PID 18436 (started by daou-danae in C:\Users\danae\Desktop\Homework)
2024-08-05 09:27:55,609 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStartupProfileInfo:664) - No active profile set, falling back to default profiles: default
2024-08-05 09:27:56,706 [Test worker] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping(<init>:53) - Adding welcome page: class path resource [static/index.html]
2024-08-05 09:27:56,998 [Test worker] INFO  kr.co.daou.api.ApiApplicationTests(logStarted:61) - Started ApiApplicationTests in 1.559 seconds (JVM running for 2.438)
2024-08-05 09:28:28,702 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(buildDefaultMergedContextConfiguration:305) - Neither @ContextConfiguration nor @ContextHierarchy found for test class [kr.co.daou.api.ApiApplicationTests], using SpringBootContextLoader
2024-08-05 09:28:28,707 [Test worker] INFO  org.springframework.test.context.support.AbstractContextLoader(generateDefaultLocations:264) - Could not detect default resource locations for test class [kr.co.daou.api.ApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-05 09:28:28,708 [Test worker] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(detectDefaultConfigurationClasses:83) - Could not detect default configuration classes for test class [kr.co.daou.api.ApiApplicationTests]: ApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-05 09:28:28,761 [Test worker] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(getOrFindConfigurationClasses:238) - Found @SpringBootConfiguration kr.co.daou.api.ApiApplication for test class kr.co.daou.api.ApiApplicationTests
